ref_area,country,frequency_of_observation,measure,unit_of_measure,health_care_provider,asset_type,price_base,year,set_healtchare_capita_outcomes,base_period,unit_multiplier
ISL,Iceland,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Providers of preventive care,Total,Not applicable,2014,100.0,,Units
ISL,Iceland,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Providers of preventive care,Total,Not applicable,2013,100.0,,Units
ISL,Iceland,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Providers of preventive care,Total,Not applicable,2012,100.0,,Units
ISL,Iceland,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Providers of preventive care,Total,Not applicable,2011,100.0,,Units
ISL,Iceland,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Providers of preventive care,Total,Not applicable,2010,100.0,,Units
ISL,Iceland,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Providers of preventive care,Total,Not applicable,2009,100.0,,Units
AUS,Australia,Annual,Gross fixed capital formation,National currency,Providers of preventive care,Total,Constant prices,2015,113.0,2015.0,Millions
AUS,Australia,Annual,Gross fixed capital formation,National currency,Providers of preventive care,Total,Constant prices,2014,157.746,2015.0,Millions
AUS,Australia,Annual,Gross fixed capital formation,National currency,Providers of preventive care,Total,Constant prices,2018,121.763,2015.0,Millions
AUS,Australia,Annual,Gross fixed capital formation,National currency,Providers of preventive care,Total,Constant prices,2017,118.23,2015.0,Millions
AUS,Australia,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Retailers and other providers of medical goods,Total,Not applicable,2015,100.0,,Units
AUS,Australia,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Retailers and other providers of medical goods,Total,Not applicable,2014,100.0,,Units
AUS,Australia,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Retailers and other providers of medical goods,Total,Not applicable,2018,100.0,,Units
AUS,Australia,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Retailers and other providers of medical goods,Total,Not applicable,2017,100.0,,Units
SWE,Sweden,Annual,Gross fixed capital formation,National currency,Providers of ancillary services,Total,Current prices,2011,676.0,,Millions
SWE,Sweden,Annual,Gross fixed capital formation,National currency,Providers of ancillary services,Total,Current prices,2010,1040.0,,Millions
SWE,Sweden,Annual,Gross fixed capital formation,National currency,Providers of ancillary services,Total,Current prices,2009,860.0,,Millions
SWE,Sweden,Annual,Gross fixed capital formation,National currency,Providers of ancillary services,Total,Current prices,2008,693.0,,Millions
SWE,Sweden,Annual,Gross fixed capital formation,National currency,Providers of ancillary services,Total,Current prices,2007,742.0,,Millions
SWE,Sweden,Annual,Gross fixed capital formation,National currency,Providers of ancillary services,Total,Current prices,2006,656.0,,Millions
SWE,Sweden,Annual,Gross fixed capital formation,National currency,Providers of ancillary services,Total,Current prices,2005,520.0,,Millions
SWE,Sweden,Annual,Gross fixed capital formation,National currency,Providers of ancillary services,Total,Current prices,2004,453.0,,Millions
SWE,Sweden,Annual,Gross fixed capital formation,National currency,Providers of ancillary services,Total,Current prices,2003,575.0,,Millions
SWE,Sweden,Annual,Gross fixed capital formation,National currency,Providers of ancillary services,Total,Current prices,2002,527.0,,Millions
SWE,Sweden,Annual,Gross fixed capital formation,National currency,Providers of ancillary services,Total,Current prices,2001,392.0,,Millions
CRI,Costa Rica,Annual,Gross fixed capital formation,National currency,Providers of healthcare system administration and financing,Infrastructure,Current prices,2018,21991.062,,Millions
CRI,Costa Rica,Annual,Gross fixed capital formation,National currency,Providers of healthcare system administration and financing,Infrastructure,Current prices,2017,21138.461,,Millions
CRI,Costa Rica,Annual,Gross fixed capital formation,National currency,Providers of healthcare system administration and financing,Infrastructure,Current prices,2016,24953.727,,Millions
FIN,Finland,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Providers of preventive care,Infrastructure,Not applicable,2013,63.607,,Units
FIN,Finland,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Providers of preventive care,Infrastructure,Not applicable,2012,84.904,,Units
FIN,Finland,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Providers of preventive care,Infrastructure,Not applicable,2011,84.77,,Units
FIN,Finland,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Providers of preventive care,Infrastructure,Not applicable,2010,48.791,,Units
FIN,Finland,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Providers of preventive care,Infrastructure,Not applicable,2009,2.225,,Units
FIN,Finland,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Providers of preventive care,Infrastructure,Not applicable,2008,69.344,,Units
FIN,Finland,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Providers of preventive care,Infrastructure,Not applicable,2007,59.184,,Units
FIN,Finland,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Providers of preventive care,Infrastructure,Not applicable,2006,78.517,,Units
FIN,Finland,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Providers of preventive care,Infrastructure,Not applicable,2005,21.692,,Units
FIN,Finland,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Providers of preventive care,Infrastructure,Not applicable,2004,66.022,,Units
FIN,Finland,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Providers of preventive care,Infrastructure,Not applicable,2003,82.947,,Units
FIN,Finland,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Providers of preventive care,Infrastructure,Not applicable,2002,86.455,,Units
FIN,Finland,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Providers of preventive care,Infrastructure,Not applicable,2001,47.724,,Units
FIN,Finland,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Providers of preventive care,Infrastructure,Not applicable,2016,38.571,,Units
FIN,Finland,Annual,Gross fixed capital formation,National currency,Providers of preventive care,Infrastructure,Current prices,2002,1.334,,Millions
FIN,Finland,Annual,Gross fixed capital formation,National currency,Providers of preventive care,Infrastructure,Current prices,2001,0.325,,Millions
FIN,Finland,Annual,Gross fixed capital formation,National currency,Providers of preventive care,Infrastructure,Current prices,2014,0.435,,Millions
FIN,Finland,Annual,Gross fixed capital formation,National currency,Providers of preventive care,Infrastructure,Current prices,2013,0.388,,Millions
FIN,Finland,Annual,Gross fixed capital formation,National currency,Providers of preventive care,Infrastructure,Current prices,2012,1.676,,Millions
FIN,Finland,Annual,Gross fixed capital formation,National currency,Providers of preventive care,Infrastructure,Current prices,2011,0.846,,Millions
FIN,Finland,Annual,Gross fixed capital formation,National currency,Providers of preventive care,Infrastructure,Current prices,2010,0.343,,Millions
FIN,Finland,Annual,Gross fixed capital formation,National currency,Providers of preventive care,Infrastructure,Current prices,2009,0.018,,Millions
FIN,Finland,Annual,Gross fixed capital formation,National currency,Providers of preventive care,Infrastructure,Current prices,2008,0.423,,Millions
FIN,Finland,Annual,Gross fixed capital formation,National currency,Providers of preventive care,Infrastructure,Current prices,2007,0.116,,Millions
FIN,Finland,Annual,Gross fixed capital formation,National currency,Providers of preventive care,Infrastructure,Current prices,2006,0.72,,Millions
FIN,Finland,Annual,Gross fixed capital formation,National currency,Providers of preventive care,Infrastructure,Current prices,2005,0.1,,Millions
FIN,Finland,Annual,Gross fixed capital formation,National currency,Providers of preventive care,Infrastructure,Current prices,2016,0.108,,Millions
FIN,Finland,Annual,Gross fixed capital formation,National currency,Providers of preventive care,Infrastructure,Current prices,2004,0.307,,Millions
LVA,Latvia,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Providers of ancillary services,Infrastructure,Not applicable,2018,9.858,,Units
SWE,Sweden,Annual,Gross fixed capital formation,National currency,Providers of ancillary services,Infrastructure,Current prices,2006,38.0,,Millions
SWE,Sweden,Annual,Gross fixed capital formation,National currency,Providers of ancillary services,Infrastructure,Current prices,2005,32.0,,Millions
SWE,Sweden,Annual,Gross fixed capital formation,National currency,Providers of ancillary services,Infrastructure,Current prices,2004,45.0,,Millions
SWE,Sweden,Annual,Gross fixed capital formation,National currency,Providers of ancillary services,Infrastructure,Current prices,2003,25.0,,Millions
SWE,Sweden,Annual,Gross fixed capital formation,National currency,Providers of ancillary services,Infrastructure,Current prices,2002,54.0,,Millions
SWE,Sweden,Annual,Gross fixed capital formation,National currency,Providers of ancillary services,Infrastructure,Current prices,2001,40.0,,Millions
SWE,Sweden,Annual,Gross fixed capital formation,National currency,Providers of ancillary services,Infrastructure,Current prices,2018,127.0,,Millions
SWE,Sweden,Annual,Gross fixed capital formation,National currency,Providers of ancillary services,Infrastructure,Current prices,2017,104.0,,Millions
SWE,Sweden,Annual,Gross fixed capital formation,National currency,Providers of ancillary services,Infrastructure,Current prices,2016,114.0,,Millions
SWE,Sweden,Annual,Gross fixed capital formation,National currency,Providers of ancillary services,Infrastructure,Current prices,2015,72.0,,Millions
SWE,Sweden,Annual,Gross fixed capital formation,National currency,Providers of ancillary services,Infrastructure,Current prices,2014,41.0,,Millions
SWE,Sweden,Annual,Gross fixed capital formation,National currency,Providers of ancillary services,Infrastructure,Current prices,2013,99.0,,Millions
SWE,Sweden,Annual,Gross fixed capital formation,National currency,Providers of ancillary services,Infrastructure,Current prices,2012,93.0,,Millions
SWE,Sweden,Annual,Gross fixed capital formation,National currency,Providers of ancillary services,Infrastructure,Current prices,2011,65.0,,Millions
SWE,Sweden,Annual,Gross fixed capital formation,National currency,Providers of ancillary services,Infrastructure,Current prices,2010,391.0,,Millions
SWE,Sweden,Annual,Gross fixed capital formation,National currency,Providers of ancillary services,Infrastructure,Current prices,2009,93.0,,Millions
SWE,Sweden,Annual,Gross fixed capital formation,National currency,Providers of ancillary services,Infrastructure,Current prices,2008,87.0,,Millions
FIN,Finland,Annual,Gross fixed capital formation,Percentage of GDP,Residential long-term care facilities,Infrastructure,Not applicable,2006,0.034,,Units
FIN,Finland,Annual,Gross fixed capital formation,Percentage of GDP,Residential long-term care facilities,Infrastructure,Not applicable,2005,0.035,,Units
FIN,Finland,Annual,Gross fixed capital formation,Percentage of GDP,Residential long-term care facilities,Infrastructure,Not applicable,2004,0.023,,Units
FIN,Finland,Annual,Gross fixed capital formation,Percentage of GDP,Residential long-term care facilities,Infrastructure,Not applicable,2003,0.032,,Units
FIN,Finland,Annual,Gross fixed capital formation,Percentage of GDP,Residential long-term care facilities,Infrastructure,Not applicable,2002,0.026,,Units
FIN,Finland,Annual,Gross fixed capital formation,Percentage of GDP,Residential long-term care facilities,Infrastructure,Not applicable,2001,0.017,,Units
FIN,Finland,Annual,Gross fixed capital formation,Percentage of GDP,Residential long-term care facilities,Infrastructure,Not applicable,2018,0.018,,Units
FIN,Finland,Annual,Gross fixed capital formation,Percentage of GDP,Residential long-term care facilities,Infrastructure,Not applicable,2017,0.091,,Units
FIN,Finland,Annual,Gross fixed capital formation,Percentage of GDP,Residential long-term care facilities,Infrastructure,Not applicable,2016,0.079,,Units
FIN,Finland,Annual,Gross fixed capital formation,Percentage of GDP,Residential long-term care facilities,Infrastructure,Not applicable,2015,0.139,,Units
FIN,Finland,Annual,Gross fixed capital formation,Percentage of GDP,Residential long-term care facilities,Infrastructure,Not applicable,2014,0.142,,Units
FIN,Finland,Annual,Gross fixed capital formation,Percentage of GDP,Residential long-term care facilities,Infrastructure,Not applicable,2013,0.021,,Units
FIN,Finland,Annual,Gross fixed capital formation,Percentage of GDP,Residential long-term care facilities,Infrastructure,Not applicable,2012,0.027,,Units
FIN,Finland,Annual,Gross fixed capital formation,Percentage of GDP,Residential long-term care facilities,Infrastructure,Not applicable,2011,0.024,,Units
FIN,Finland,Annual,Gross fixed capital formation,Percentage of GDP,Residential long-term care facilities,Infrastructure,Not applicable,2010,0.039,,Units
FIN,Finland,Annual,Gross fixed capital formation,Percentage of GDP,Residential long-term care facilities,Infrastructure,Not applicable,2009,0.039,,Units
FIN,Finland,Annual,Gross fixed capital formation,Percentage of GDP,Residential long-term care facilities,Infrastructure,Not applicable,2008,0.042,,Units
GRC,Greece,Annual,Gross fixed capital formation,National currency,Hospitals,Infrastructure,Current prices,2018,10.536,,Millions
GRC,Greece,Annual,Gross fixed capital formation,National currency,Hospitals,Infrastructure,Current prices,2017,12.349,,Millions
GRC,Greece,Annual,Gross fixed capital formation,National currency,Hospitals,Infrastructure,Current prices,2016,12.322,,Millions
GRC,Greece,Annual,Gross fixed capital formation,National currency,Hospitals,Infrastructure,Current prices,2015,15.83,,Millions
GRC,Greece,Annual,Gross fixed capital formation,National currency,Hospitals,Infrastructure,Current prices,2014,15.917,,Millions
GRC,Greece,Annual,Gross fixed capital formation,National currency,Hospitals,Infrastructure,Current prices,2013,13.779,,Millions
GRC,Greece,Annual,Gross fixed capital formation,National currency,Hospitals,Infrastructure,Current prices,2012,16.115,,Millions
GRC,Greece,Annual,Gross fixed capital formation,National currency,Hospitals,Infrastructure,Current prices,2011,19.446,,Millions
GRC,Greece,Annual,Gross fixed capital formation,National currency,Hospitals,Infrastructure,Current prices,2010,21.253,,Millions
GRC,Greece,Annual,Gross fixed capital formation,National currency,Hospitals,Infrastructure,Current prices,2009,109.434,,Millions
SWE,Sweden,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Total,Infrastructure,Not applicable,2006,26.642,,Units
SWE,Sweden,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Total,Infrastructure,Not applicable,2005,26.885,,Units
GBR,United Kingdom,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Total,Intellectual property products,Not applicable,2004,9.333,,Units
GBR,United Kingdom,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Total,Intellectual property products,Not applicable,2003,8.163,,Units
GBR,United Kingdom,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Total,Intellectual property products,Not applicable,2002,6.765,,Units
GBR,United Kingdom,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Total,Intellectual property products,Not applicable,2001,7.122,,Units
GBR,United Kingdom,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Total,Intellectual property products,Not applicable,2018,21.275,,Units
GBR,United Kingdom,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Total,Intellectual property products,Not applicable,2017,16.878,,Units
CRI,Costa Rica,Annual,Gross fixed capital formation,National currency,Providers of healthcare system administration and financing,Machinery and equipment,Current prices,2016,21917.258,,Millions
CRI,Costa Rica,Annual,Gross fixed capital formation,National currency,Providers of healthcare system administration and financing,Machinery and equipment,Current prices,2015,14143.267,,Millions
CRI,Costa Rica,Annual,Gross fixed capital formation,National currency,Providers of healthcare system administration and financing,Machinery and equipment,Current prices,2014,11607.144,,Millions
CRI,Costa Rica,Annual,Gross fixed capital formation,National currency,Providers of healthcare system administration and financing,Machinery and equipment,Current prices,2013,11753.33,,Millions
CRI,Costa Rica,Annual,Gross fixed capital formation,National currency,Providers of healthcare system administration and financing,Machinery and equipment,Current prices,2012,8192.113,,Millions
CRI,Costa Rica,Annual,Gross fixed capital formation,National currency,Providers of healthcare system administration and financing,Machinery and equipment,Current prices,2011,9319.148,,Millions
CRI,Costa Rica,Annual,Gross fixed capital formation,National currency,Providers of healthcare system administration and financing,Machinery and equipment,Current prices,2018,8682.705,,Millions
LVA,Latvia,Annual,Gross fixed capital formation,National currency,Retailers and other providers of medical goods,Machinery and equipment,Constant prices,2018,6.299,2015.0,Millions
LVA,Latvia,Annual,Gross fixed capital formation,National currency,Retailers and other providers of medical goods,Machinery and equipment,Constant prices,2017,5.125,2015.0,Millions
FIN,Finland,Annual,Gross fixed capital formation,Percentage of GDP,Residential long-term care facilities,Machinery and equipment,Not applicable,2006,0.003,,Units
FIN,Finland,Annual,Gross fixed capital formation,Percentage of GDP,Residential long-term care facilities,Machinery and equipment,Not applicable,2005,0.001,,Units
FIN,Finland,Annual,Gross fixed capital formation,Percentage of GDP,Residential long-term care facilities,Machinery and equipment,Not applicable,2004,0.001,,Units
FIN,Finland,Annual,Gross fixed capital formation,Percentage of GDP,Residential long-term care facilities,Machinery and equipment,Not applicable,2003,0.001,,Units
FIN,Finland,Annual,Gross fixed capital formation,Percentage of GDP,Residential long-term care facilities,Machinery and equipment,Not applicable,2002,0.001,,Units
FIN,Finland,Annual,Gross fixed capital formation,Percentage of GDP,Residential long-term care facilities,Machinery and equipment,Not applicable,2001,0.001,,Units
FIN,Finland,Annual,Gross fixed capital formation,Percentage of GDP,Residential long-term care facilities,Machinery and equipment,Not applicable,2018,0.001,,Units
FIN,Finland,Annual,Gross fixed capital formation,Percentage of GDP,Residential long-term care facilities,Machinery and equipment,Not applicable,2017,0.004,,Units
FIN,Finland,Annual,Gross fixed capital formation,Percentage of GDP,Residential long-term care facilities,Machinery and equipment,Not applicable,2016,0.006,,Units
FIN,Finland,Annual,Gross fixed capital formation,Percentage of GDP,Residential long-term care facilities,Machinery and equipment,Not applicable,2015,0.006,,Units
FIN,Finland,Annual,Gross fixed capital formation,Percentage of GDP,Residential long-term care facilities,Machinery and equipment,Not applicable,2014,0.006,,Units
FIN,Finland,Annual,Gross fixed capital formation,Percentage of GDP,Residential long-term care facilities,Machinery and equipment,Not applicable,2013,0.001,,Units
FIN,Finland,Annual,Gross fixed capital formation,Percentage of GDP,Residential long-term care facilities,Machinery and equipment,Not applicable,2012,0.002,,Units
FIN,Finland,Annual,Gross fixed capital formation,Percentage of GDP,Residential long-term care facilities,Machinery and equipment,Not applicable,2011,0.002,,Units
FIN,Finland,Annual,Gross fixed capital formation,Percentage of GDP,Residential long-term care facilities,Machinery and equipment,Not applicable,2010,0.003,,Units
FIN,Finland,Annual,Gross fixed capital formation,Percentage of GDP,Residential long-term care facilities,Machinery and equipment,Not applicable,2009,0.004,,Units
FIN,Finland,Annual,Gross fixed capital formation,Percentage of GDP,Residential long-term care facilities,Machinery and equipment,Not applicable,2008,0.002,,Units
CRI,Costa Rica,Annual,Gross fixed capital formation,National currency,Hospitals,Machinery and equipment,Constant prices,2016,17849.843,2015.0,Millions
CRI,Costa Rica,Annual,Gross fixed capital formation,National currency,Hospitals,Machinery and equipment,Constant prices,2015,11178.107,2015.0,Millions
CRI,Costa Rica,Annual,Gross fixed capital formation,National currency,Hospitals,Machinery and equipment,Constant prices,2014,7228.013,2015.0,Millions
CRI,Costa Rica,Annual,Gross fixed capital formation,National currency,Hospitals,Machinery and equipment,Constant prices,2013,6674.667,2015.0,Millions
CRI,Costa Rica,Annual,Gross fixed capital formation,National currency,Hospitals,Machinery and equipment,Constant prices,2012,4285.338,2015.0,Millions
CRI,Costa Rica,Annual,Gross fixed capital formation,National currency,Hospitals,Machinery and equipment,Constant prices,2011,7888.309,2015.0,Millions
CRI,Costa Rica,Annual,Gross fixed capital formation,National currency,Hospitals,Machinery and equipment,Constant prices,2018,28991.15,2015.0,Millions
ISR,Israel,Annual,Gross fixed capital formation,National currency,Total,Machinery and equipment,Current prices,2016,1379.0,,Millions
ISR,Israel,Annual,Gross fixed capital formation,National currency,Total,Machinery and equipment,Current prices,2015,1726.0,,Millions
ISR,Israel,Annual,Gross fixed capital formation,National currency,Total,Machinery and equipment,Current prices,2014,1106.0,,Millions
ISR,Israel,Annual,Gross fixed capital formation,National currency,Total,Machinery and equipment,Current prices,2013,1201.0,,Millions
ISR,Israel,Annual,Gross fixed capital formation,National currency,Total,Machinery and equipment,Current prices,2012,1032.0,,Millions
ISR,Israel,Annual,Gross fixed capital formation,National currency,Total,Machinery and equipment,Current prices,2011,1228.0,,Millions
ISR,Israel,Annual,Gross fixed capital formation,National currency,Total,Machinery and equipment,Current prices,2010,1530.0,,Millions
ISR,Israel,Annual,Gross fixed capital formation,National currency,Total,Machinery and equipment,Current prices,2009,1215.0,,Millions
ISR,Israel,Annual,Gross fixed capital formation,National currency,Total,Machinery and equipment,Current prices,2008,1030.0,,Millions
ISR,Israel,Annual,Gross fixed capital formation,National currency,Total,Machinery and equipment,Current prices,2018,1548.0,,Millions
FIN,Finland,Annual,Gross fixed capital formation,National currency,Total,Machinery and equipment,Constant prices,2010,172.82,2015.0,Millions
FIN,Finland,Annual,Gross fixed capital formation,National currency,Total,Machinery and equipment,Constant prices,2009,141.351,2015.0,Millions
FIN,Finland,Annual,Gross fixed capital formation,National currency,Total,Machinery and equipment,Constant prices,2008,162.806,2015.0,Millions
FIN,Finland,Annual,Gross fixed capital formation,National currency,Total,Machinery and equipment,Constant prices,2007,191.995,2015.0,Millions
FIN,Finland,Annual,Gross fixed capital formation,National currency,Total,Machinery and equipment,Constant prices,2006,176.532,2015.0,Millions
FIN,Finland,Annual,Gross fixed capital formation,National currency,Total,Machinery and equipment,Constant prices,2005,180.343,2015.0,Millions
FIN,Finland,Annual,Gross fixed capital formation,National currency,Total,Machinery and equipment,Constant prices,2004,157.69,2015.0,Millions
FIN,Finland,Annual,Gross fixed capital formation,National currency,Total,Machinery and equipment,Constant prices,2003,165.429,2015.0,Millions
FIN,Finland,Annual,Gross fixed capital formation,National currency,Total,Machinery and equipment,Constant prices,2002,166.162,2015.0,Millions
FIN,Finland,Annual,Gross fixed capital formation,National currency,Total,Machinery and equipment,Constant prices,2001,156.005,2015.0,Millions
FIN,Finland,Annual,Gross fixed capital formation,National currency,Total,Machinery and equipment,Constant prices,2018,193.679,2015.0,Millions
FIN,Finland,Annual,Gross fixed capital formation,National currency,Total,Machinery and equipment,Constant prices,2017,191.326,2015.0,Millions
FIN,Finland,Annual,Gross fixed capital formation,National currency,Total,Machinery and equipment,Constant prices,2016,200.097,2015.0,Millions
FIN,Finland,Annual,Gross fixed capital formation,National currency,Total,Machinery and equipment,Constant prices,2015,197.924,2015.0,Millions
FIN,Finland,Annual,Gross fixed capital formation,National currency,Total,Machinery and equipment,Constant prices,2014,199.135,2015.0,Millions
FIN,Finland,Annual,Gross fixed capital formation,National currency,Total,Machinery and equipment,Constant prices,2013,181.832,2015.0,Millions
FIN,Finland,Annual,Gross fixed capital formation,National currency,Total,Machinery and equipment,Constant prices,2012,194.352,2015.0,Millions
CRI,Costa Rica,Annual,Gross fixed capital formation,National currency,Providers of healthcare system administration and financing,Infrastructure,Current prices,2014,29609.604,,Millions
CRI,Costa Rica,Annual,Gross fixed capital formation,National currency,Providers of healthcare system administration and financing,Infrastructure,Current prices,2013,26803.72,,Millions
CRI,Costa Rica,Annual,Gross fixed capital formation,National currency,Providers of healthcare system administration and financing,Infrastructure,Current prices,2012,14926.516,,Millions
CRI,Costa Rica,Annual,Gross fixed capital formation,National currency,Providers of healthcare system administration and financing,Infrastructure,Current prices,2011,9176.588,,Millions
CZE,Czechia,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Total,Total,Not applicable,2018,100.0,,Units
CZE,Czechia,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Total,Total,Not applicable,2017,100.0,,Units
CZE,Czechia,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Total,Total,Not applicable,2016,100.0,,Units
CZE,Czechia,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Total,Total,Not applicable,2015,100.0,,Units
CZE,Czechia,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Total,Total,Not applicable,2014,100.0,,Units
CZE,Czechia,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Total,Total,Not applicable,2013,100.0,,Units
CZE,Czechia,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Total,Total,Not applicable,2012,100.0,,Units
CZE,Czechia,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Total,Total,Not applicable,2011,100.0,,Units
CZE,Czechia,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Total,Total,Not applicable,2010,100.0,,Units
CZE,Czechia,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Total,Total,Not applicable,2009,100.0,,Units
CZE,Czechia,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Total,Total,Not applicable,2008,100.0,,Units
MLT,Malta,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Providers of preventive care,Total,Not applicable,2018,100.0,,Units
MLT,Malta,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Providers of preventive care,Total,Not applicable,2017,100.0,,Units
MLT,Malta,Annual,Gross fixed capital formation,Percentage of GDP,Residential long-term care facilities,Machinery and equipment,Not applicable,2018,0.029,,Units
MLT,Malta,Annual,Gross fixed capital formation,National currency,Total,Infrastructure,Constant prices,2018,19.052,2015.0,Millions
MLT,Malta,Annual,Gross fixed capital formation,National currency,Total,Infrastructure,Constant prices,2017,0.909,2015.0,Millions
FIN,Finland,Annual,Gross fixed capital formation,National currency,Providers of preventive care,Intellectual property products,Current prices,2002,0.031,,Millions
FIN,Finland,Annual,Gross fixed capital formation,National currency,Providers of preventive care,Intellectual property products,Current prices,2001,0.057,,Millions
FIN,Finland,Annual,Gross fixed capital formation,National currency,Providers of preventive care,Intellectual property products,Current prices,2014,0.059,,Millions
FIN,Finland,Annual,Gross fixed capital formation,National currency,Providers of preventive care,Intellectual property products,Current prices,2013,0.051,,Millions
FIN,Finland,Annual,Gross fixed capital formation,National currency,Providers of preventive care,Intellectual property products,Current prices,2012,0.066,,Millions
FIN,Finland,Annual,Gross fixed capital formation,National currency,Providers of preventive care,Intellectual property products,Current prices,2011,0.022,,Millions
FIN,Finland,Annual,Gross fixed capital formation,National currency,Providers of preventive care,Intellectual property products,Current prices,2010,0.068,,Millions
FIN,Finland,Annual,Gross fixed capital formation,National currency,Providers of preventive care,Intellectual property products,Current prices,2009,0.15,,Millions
FIN,Finland,Annual,Gross fixed capital formation,National currency,Providers of preventive care,Intellectual property products,Current prices,2008,0.028,,Millions
FIN,Finland,Annual,Gross fixed capital formation,National currency,Providers of preventive care,Intellectual property products,Current prices,2007,0.007,,Millions
FIN,Finland,Annual,Gross fixed capital formation,National currency,Providers of preventive care,Intellectual property products,Current prices,2006,0.049,,Millions
FIN,Finland,Annual,Gross fixed capital formation,National currency,Providers of preventive care,Intellectual property products,Current prices,2005,0.054,,Millions
FIN,Finland,Annual,Gross fixed capital formation,National currency,Providers of preventive care,Intellectual property products,Current prices,2016,0.024,,Millions
FIN,Finland,Annual,Gross fixed capital formation,National currency,Providers of preventive care,Intellectual property products,Current prices,2004,0.023,,Millions
PRT,Portugal,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Retailers and other providers of medical goods,Intellectual property products,Not applicable,2018,6.911,,Units
PRT,Portugal,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Retailers and other providers of medical goods,Intellectual property products,Not applicable,2017,4.159,,Units
PRT,Portugal,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Retailers and other providers of medical goods,Intellectual property products,Not applicable,2016,5.053,,Units
PRT,Portugal,Annual,Gross fixed capital formation,National currency,Providers of ancillary services,Intellectual property products,Constant prices,2017,29.647,2015.0,Millions
PRT,Portugal,Annual,Gross fixed capital formation,National currency,Providers of ancillary services,Intellectual property products,Constant prices,2016,33.104,2015.0,Millions
PRT,Portugal,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Providers of ambulatory healthcare,Intellectual property products,Not applicable,2018,11.383,,Units
PRT,Portugal,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Providers of ambulatory healthcare,Intellectual property products,Not applicable,2017,11.606,,Units
PRT,Portugal,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Providers of ambulatory healthcare,Intellectual property products,Not applicable,2016,13.82,,Units
FIN,Finland,Annual,Gross fixed capital formation,Percentage of GDP,Residential long-term care facilities,Intellectual property products,Not applicable,2015,0.001,,Units
FIN,Finland,Annual,Gross fixed capital formation,Percentage of GDP,Residential long-term care facilities,Intellectual property products,Not applicable,2014,0.001,,Units
FIN,Finland,Annual,Gross fixed capital formation,Percentage of GDP,Residential long-term care facilities,Intellectual property products,Not applicable,2010,0.001,,Units
FIN,Finland,Annual,Gross fixed capital formation,Percentage of GDP,Residential long-term care facilities,Intellectual property products,Not applicable,2017,0.001,,Units
